"ID","Brand","Product","Category","Image URL","Public Reference Price GBP inc VAT","Observed Availability","Observed Source","Source URL","Checked Date","Actual Trade Cost ex VAT GBP","Actual MCQ Sell Price inc VAT GBP","MCQ Sellable","Trade Cost Status","Notes"
"mkt-thomann-hd25","Sennheiser","HD 25","headphones","https://www.blue-music.de/out/pictures/master/product/1/product-detail-x2-desktop-HD-25-Isofront-RGB-01-1-736918.jpg","105","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/sennheiser_hd_25.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-athm50x","Audio-Technica","ATH-M50X","headphones","https://www.audiotrends.com.au/cdn/shop/files/at-ath-m50x-1s.jpg?v=1737436339&width=1920","129","IN_STOCK_IMMEDIATE","Thomann UK","https://www.thomann.co.uk/audio_technica_ath_m50_x.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.audiotrends.com.au/products/audio-technica-ath-m50x-headphones"
"mkt-thomann-sm58","Shure","SM58 LC","microphones","https://www.beatboxentertainment.com/cdn/shop/products/sm58_front.jpg?v=1673798437&width=2048","99","IN_STOCK_IMMEDIATE","Thomann UK","https://www.thomann.co.uk/shure_sm58.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-sm57","Shure","SM57 LC","microphones","https://promusic.cl/cdn/shop/files/SM57_2_b22e3862-2138-4cf8-a70e-66418fff9a29.jpg?v=1765564417&width=2000","95","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/shure_sm57_lc.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-e835","Sennheiser","e835","microphones","https://cdn11.bigcommerce.com/s-qzsvj0y9o3/images/stencil/1280x1280/products/64239/430631/YOTHER139968__51474.1726049688.jpg?c=1","77","IN_STOCK","Thomann UK","https://www.thomann.co.uk/sennheiser_e835.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-hs5","Yamaha","HS5","studio","https://www.musicworks.co.nz/content/products/yamaha-hs5-powered-studio-monitor-5-inch-hs5-0351048001710815370.jpg?canvas=1%3A1&width=2500","139","CURRENT_TOP_SELLER","Thomann UK","https://www.thomann.co.uk/yamaha_hs_5.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-t5v","ADAM Audio","T5V","studio","https://www.adam-audio.com/content/uploads/2018/01/adam_audio_t5v_studio_monitor_black_web-1400x1567.jpg","155","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/adam_t5v.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment. Image evidence: https://www.adam-audio.com/en/news/industry/the-t-series/"
"mkt-thomann-jbl305","JBL","305P MKII","studio","https://cdn10.bigcommerce.com/s-31108/products/1079/images/19389/JBL_305P_MKII_A__41178.1593773189.1280.1280.jpg?c=2","119","IN_STOCK","Thomann UK","https://www.thomann.co.uk/jbl_lsr_305p_mkii.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-eris35","PreSonus","Eris 3.5 2nd Gen","studio","https://produtos.egitana.pt/presonus-eris-35-2nd-gen_652d136f6b2ef.jpg?v=2026-04-15+09%3A30%3A11","85","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/presonus_eris_3.5_2nd_gen.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-sclive4","Denon DJ","SC Live 4","dj","https://rubadub.co.uk/cdn/shop/products/SCLIVE4_Top_Web_1200x.jpg?v=1667396610","933","IN_STOCK","Thomann UK","https://www.thomann.co.uk/denon_dj_sc_live_4.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-mixstream","Numark","Mixstream Pro+","dj","https://westenddj.co.uk/cdn/shop/products/mixstream-pro-plus-top.jpg?v=1700694486&width=1024","559","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/numark_mixstream_pro_559714.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-sl1210mk7","Technics","SL-1210MK7","turntables","https://a.storyblok.com/f/49568/4102x4102/b654e8affd/tps_1335_479661_december138002-479661n.jpg/m/1600x0/filters%3Aquality%2890%29","855","CURRENT_LISTING_VERIFY_LEAD","Thomann UK","https://www.thomann.co.uk/technics_sl_1210_mk_7.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-ts412","Alto Professional","TS412","pa","https://static.sonovente.com/img/library/zoom/84/optim/84763_1.jpg","298","HIGH_AVAILABILITY","Thomann UK","https://www.thomann.co.uk/alto_ts_412.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-eon715","JBL","EON715","pa","https://www.americanmusical.com/media/catalog/product/j/b/jbl_eon715_m4.jpg","479","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/jbl_eon715.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-h4essential","Zoom","H4essential","recorders","https://cdn.uniquephoto.com/resources/uniquephoto/images/products/processed/ZOM3065.superZoom.l.jpg","169","HIGH_CONFIDENCE","Thomann UK","https://www.thomann.co.uk/zoom_h4essential.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-thomann-concorde-mix","Ortofon","Concorde Mix MKII System","turntables","https://hifi.nl/gfx/20180125102510_Ortofon_Concorde_Mix.jpg","72","CURRENT_LISTING","Thomann UK","https://www.thomann.co.uk/ortofon_concorde_mix_mkii_system.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-flx10","Pioneer DJ","DDJ-FLX10","dj","https://www.pioneerdj.com/product-images/1303/130db239-d874-411b-b2ea-395c83f09255/ddj-flx10_1.png","1568","12_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/PA-DJ-and-Lighting/Pioneer-DJ-DDJ-FLX10-Controller-for-Rekordbox-and-Serato/5HVN","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-westend-flx4","Pioneer DJ","DDJ-FLX4","dj","https://www.pioneerdj.com/product-images/556/d067d24e-28a0-42d1-ac50-5cf2392f755e/ddj-flx4_1.png","299","ADD_TO_CART","WestendDJ","https://westenddj.co.uk/products/pioneer-dj-ddj-flx4-smart-dj-controller","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-flx4","Pioneer DJ","DDJ-FLX4","dj","https://www.pioneerdj.com/product-images/556/d067d24e-28a0-42d1-ac50-5cf2392f755e/ddj-flx4_1.png","324","20_PLUS_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/PA-DJ-and-Lighting/DJ-Controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-sclive4","Denon DJ","SC Live 4","dj","https://rubadub.co.uk/cdn/shop/products/SCLIVE4_Top_Web_1200x.jpg?v=1667396610","979","1_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/PA-DJ-and-Lighting/DJ-Controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-g4m-grv6","AlphaTheta","DDJ-GRV6","dj","https://cf1.zzounds.com/media/productmedia/fit%2C2018by3200/quality%2C85/APT_DDJGRV6_Angle_891889-5ba349dfa7d8510f7e3f7781ed0c02ba.jpg","756","13_IN_STOCK_AT_SCAN","Gear4music","https://www.gear4music.com/PA-DJ-and-Lighting/DJ-Controllers","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-westend-flx10","Pioneer DJ","DDJ-FLX10","dj","https://www.pioneerdj.com/product-images/1303/130db239-d874-411b-b2ea-395c83f09255/ddj-flx10_1.png","1449","CURRENT_LISTING","WestendDJ","https://westenddj.co.uk/collections/pioneer-dj-1","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
"mkt-sony-mdr7506","Sony","MDR-7506","headphones","https://www.audiosaurus.co.za/cdn/shop/files/ASR-Sony-MDR7506-01a.png?v=1768311214&width=2048","85","CURRENT_LISTING_VERIFY_STOCK","Thomann UK","https://www.thomann.co.uk/sony_mdr7506_kopfhoerer.htm","2026-09-20","","","NO","TRADE QUOTE REQUIRED","Public market observation only; not MCQ-held stock. MCQ must confirm trade supply, selling price, availability and fulfilment before payment."
